id,tree_id,grove_name,survey_year,dbh_cm,prefire_status,postfire_status,measure_delay,fire_id,fire_year,fire_name,cbi,rdnbr,unit_name,source,geometry,years_since_fire,postfire_status_inv
3237,EDCR1164_T,Eden Creek,2023,263.7,1,1,5,2018EDEN,2018,Eden,1,-27,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113794.134084975, -178782.565568499)",5,0
3238,EDCR1414_T,Eden Creek,2023,202.1,1,1,5,2018EDEN,2018,Eden,1,-2,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113785.412646641, -178777.644505606)",5,0
3239,EDCR1161_T,Eden Creek,2023,215.9,1,1,5,2018EDEN,2018,Eden,1,-15,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113804.833236548, -178766.458192695)",5,0
3240,EDCR1415_T,Eden Creek,2023,286.2,1,1,5,2018EDEN,2018,Eden,1,-36,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113831.559506, -178775.750464186)",5,0
3241,EDCR1174_T,Eden Creek,2023,591,1,1,5,2018EDEN,2018,Eden,1,-75,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113863.661354206, -178826.311782799)",5,0
3243,EDCR1178_T,Eden Creek,2023,158,1,1,5,2018EDEN,2018,Eden,1,-61,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113786.108184541, -178858.263500943)",5,0
3245,EDCR1184_T,Eden Creek,2023,284.4,1,1,5,2018EDEN,2018,Eden,1,-55,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113782.65313967, -178873.8920255)",5,0
3246,EDCR1367_T,Eden Creek,2023,170.6,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113798.822021686, -178889.755506396)",5,0
3247,EDCR1189_T,Eden Creek,2023,205.5,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113798.083690781, -178883.599894178)",5,0
3248,EDCR1183_T,Eden Creek,2023,221.2,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113805.491503711, -178867.283163074)",5,0
3250,EDCR1192_T,Eden Creek,2023,395.1,1,1,5,2018EDEN,2018,Eden,1,-73,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113828.58500054, -178901.056848115)",5,0
3251,EDCR1364_T,Eden Creek,2023,154.2,1,1,5,2018EDEN,2018,Eden,1,-69,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113850.031930359, -178877.811141336)",5,0
3252,EDCR1209_T,Eden Creek,2023,371,1,1,5,2018EDEN,2018,Eden,1,-57,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113794.657966232, -178974.46211426)",5,0
3253,EDCR1196_T,Eden Creek,2023,278.1,1,1,5,2018EDEN,2018,Eden,1,-43,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113763.523186904, -178936.334239979)",5,0
3254,EDCR1203_T,Eden Creek,2023,208.1,1,1,5,2018EDEN,2018,Eden,1,-49,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113762.3442262, -178957.409748845)",5,0
3255,EDCR1199_T,Eden Creek,2023,184.7,1,1,5,2018EDEN,2018,Eden,1,-43,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113757.402373995, -178951.860024717)",5,0
3256,EDCR1369_T,Eden Creek,2023,127.5,1,1,5,2018EDEN,2018,Eden,1,-43,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113748.852203868, -178953.428015999)",5,0
3257,EDCR1206_T,Eden Creek,2023,246.7,1,1,5,2018EDEN,2018,Eden,1,-49,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113725.291554371, -178969.380808081)",5,0
3258,EDCR1201_T,Eden Creek,2023,265.9,1,1,5,2018EDEN,2018,Eden,1,-43,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113727.011457423, -178951.880757907)",5,0
3259,EDCR1205_T,Eden Creek,2023,432.8,1,1,5,2018EDEN,2018,Eden,1,-49,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113693.294358336, -178972.871012684)",5,0
3260,EDCR1215_T,Eden Creek,2023,375.6,1,1,5,2018EDEN,2018,Eden,1,-50,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113686.605191214, -179006.384784172)",5,0
3261,EDCR1220_T,Eden Creek,2023,228.6,1,1,5,2018EDEN,2018,Eden,1,36,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113668.82252686, -179026.180574093)",5,0
3262,EDCR1228_T,Eden Creek,2023,343,1,1,5,2018EDEN,2018,Eden,1,-31,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113650.367025037, -179060.134702256)",5,0
3263,EDCR1237_T,Eden Creek,2023,346.5,1,1,5,2018EDEN,2018,Eden,1,-38,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113659.625924972, -179098.429940966)",5,0
3264,EDCR1238_T,Eden Creek,2023,339,1,1,5,2018EDEN,2018,Eden,1,-79,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113679.769115473, -179103.080787153)",5,0
3265,EDCR1222_T,Eden Creek,2023,209.3,1,1,5,2018EDEN,2018,Eden,1,-27,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113706.339876199, -179030.048732404)",5,0
3266,EDCR1221_T,Eden Creek,2023,203.9,1,1,5,2018EDEN,2018,Eden,1,-27,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113711.300120268, -179022.950726711)",5,0
3267,EDCR1375_T,Eden Creek,2023,181.7,1,1,5,2018EDEN,2018,Eden,1,-40,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113712.667801287, -179012.398076678)",5,0
3268,EDCR1214_T,Eden Creek,2023,223,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113724.322240281, -179002.450550545)",5,0
3269,EDCR1217_T,Eden Creek,2023,263.5,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113732.259387018, -179014.978909208)",5,0
3270,EDCR1374_T,Eden Creek,2023,169.1,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113738.02793614, -179010.124229361)",5,0
3271,EDCR1373_T,Eden Creek,2023,155,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113731.477469957, -178998.99534101)",5,0
3272,EDCR1372_T,Eden Creek,2023,153.8,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113733.26392328, -178996.280784917)",5,0
3273,EDCR1418_T,Eden Creek,2023,194.7,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113745.145912825, -179003.45554075)",5,0
3274,EDCR1213_T,Eden Creek,2023,238.5,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113753.810170463, -178999.829723017)",5,0
3275,EDCR1417_T,Eden Creek,2023,238.7,1,1,5,2018EDEN,2018,Eden,1,-35,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113756.944911714, -179006.733837553)",5,0
3276,EDCR1232_T,Eden Creek,2023,278.4,1,1,5,2018EDEN,2018,Eden,1,-113,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113738.995366486, -179075.395910613)",5,0
3277,EDCR1231_T,Eden Creek,2023,295.1,1,1,5,2018EDEN,2018,Eden,1,-73,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113718.111950832, -179076.592337451)",5,0
3278,EDCR1229_T,Eden Creek,2023,202,1,1,5,2018EDEN,2018,Eden,1,-113,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113726.601828857, -179056.930825552)",5,0
3279,EDCR1225_T,Eden Creek,2023,226.9,1,1,5,2018EDEN,2018,Eden,1,-27,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113705.309680858, -179040.837301187)",5,0
3280,EDCR1226_T,Eden Creek,2023,253.9,1,1,5,2018EDEN,2018,Eden,1,-113,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113703.380596078, -179050.87245998)",5,0
4965,EDCR24_R1,Eden Creek,2023,205.7,1,1,5,2018EDEN,2018,Eden,1,42,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113291.704111153, -179086.287952441)",5,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4967,EDCR34_R1,Eden Creek,2023,293.6,1,1,5,2018EDEN,2018,Eden,1,-49,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113734.291956906, -178976.711121309)",5,0
4968,EDCR34_R2,Eden Creek,2023,293.6,1,1,5,2018EDEN,2018,Eden,1,-49,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113732.42563794, -178976.769685928)",5,0
4969,EDCR36_R1,Eden Creek,2023,388,1,1,5,2018EDEN,2018,Eden,1,-87,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113696.54602019, -179119.22781523)",5,0
4970,EDCR36_R2,Eden Creek,2023,388,1,1,5,2018EDEN,2018,Eden,1,-104,Sequoia and Kings Canyon National Parks,"USGS, mortality","c(113694.679700835, -179119.286378689)",5,0
