"","last_trt","resist_class","X","resist_id","lowsev_fire","rx_pile","mech_under","modsev_fire","highsev_fire","diff.1.to.2","area_ha","test.high","test.mod","test.low","resist_class_f"
"142",1989,"High resistance",4984,8435,0,2,0,0,0,5,0.0515030633546937,2,2,0,"High resistance"
"143",1989,"High resistance",4986,8437,0,2,0,0,0,14,0.190847211183683,2,2,0,"High resistance"
"144",1989,"Low resistance",119,162,0,0,1,0,0,1989,5.0253512343464,1,0,1,"Low resistance"
"145",1989,"Low resistance",958,1555,0,0,1,0,0,1989,0.00000000000000582076609134674,1,0,1,"Low resistance"
"146",1989,"Low resistance",1697,2749,0,0,2,0,0,0,0.0000000000000465661287307739,2,0,2,"Low resistance"
"147",1989,"Low resistance",1700,2759,0,0,4,0,0,6,0.000000000000138169298224966,4,0,4,"Low resistance"
"148",1989,"Low resistance",1704,2767,0,0,2,0,0,6,0.0000000000000668994193375738,2,0,2,"Low resistance"
"149",1989,"Low resistance",1717,2782,0,0,1,0,0,1989,1.55868792531433,1,0,1,"Low resistance"
"150",1989,"Moderate resistance",1696,2749,0,0,2,0,0,1989,0.0000000000000465661287307739,2,0,2,"Moderate resistance"
"151",1989,"Moderate resistance",1699,2756,0,0,2,0,0,25,0.106930702183821,2,0,2,"Moderate resistance"
"152",1989,"Moderate resistance",1710,2773,0,0,2,0,0,29,1.04877525324275,2,0,2,"Moderate resistance"
"153",1989,"Moderate resistance",1712,2775,0,0,3,0,0,24,0.000000000000040381564758718,3,0,3,"Moderate resistance"
"154",1989,"Moderate resistance",1715,2779,0,0,2,0,0,24,2.54689155745208,2,0,2,"Moderate resistance"
"155",1989,"Moderate resistance",1716,2780,0,0,3,0,0,28,0.911154073782644,3,0,3,"Moderate resistance"
"156",1989,"Moderate resistance",3900,6751,0,1,0,0,0,1989,0.239259007586746,1,1,0,"Moderate resistance"
"157",1989,"Moderate resistance",4987,8439,0,1,0,0,0,1989,0.396352380059516,1,1,0,"Moderate resistance"
"158",1990,"High resistance",3586,6391,0,2,0,0,0,10,0.0000000000000713043846189976,2,2,0,"High resistance"
"159",1990,"Low resistance",1837,3016,0,0,3,0,0,7,0.401329728429027,3,0,3,"Low resistance"
"160",1990,"Low resistance",1898,3133,0,0,1,0,0,1990,0.0154484682042793,1,0,1,"Low resistance"
"161",1990,"Moderate resistance",969,1578,0,0,2,0,0,25,0.00000024197952952818,2,0,2,"Moderate resistance"
"162",1990,"Moderate resistance",1839,3018,0,0,2,0,0,19,0.858299967806041,2,0,2,"Moderate resistance"
"163",1990,"Moderate resistance",1872,3078,0,0,3,0,0,25,0.00000000000000145519152283669,3,0,3,"Moderate resistance"
"164",1990,"Moderate resistance",1885,3113,0,0,4,0,0,25,0,4,0,4,"Moderate resistance"
"165",1990,"Moderate resistance",1886,3114,0,0,3,0,0,29,0.0000000000000025465851649642,3,0,3,"Moderate resistance"
"166",1990,"Moderate resistance",3595,6402,0,1,0,0,0,1990,0.00000000000000109139364212751,1,1,0,"Moderate resistance"
"167",1990,"Moderate resistance",3934,6787,0,1,0,0,0,1990,0.167789547814903,1,1,0,"Moderate resistance"
"168",1990,"Moderate resistance",4988,8440,0,1,0,0,0,1990,0.00000000000000582116359543856,1,1,0,"Moderate resistance"
"169",1991,"High resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High resistance"
"170",1991,"Low resistance",1208,1959,0,0,1,0,0,1991,0.215934584924344,1,0,1,"Low resistance"
"171",1991,"Low resistance",1369,2212,0,0,1,0,0,1991,0.295208063256001,1,0,1,"Low resistance"
"172",1991,"Low resistance",2887,4754,0,0,1,0,0,1991,0.353141983673801,1,0,1,"Low resistance"
"173",1991,"Moderate resistance",1368,2211,0,0,2,0,0,18,0.000000015942711615935,2,0,2,"Moderate resistance"
"174",1991,"Moderate resistance",3469,6210,1,0,0,0,0,1991,66.9609824028799,1,1,0,"Moderate resistance"
"175",1991,"Moderate resistance",3470,6212,0,0,0,1,0,1991,5.52248090144632,1,1,0,"Moderate resistance"
"176",1991,"Moderate resistance",4113,6979,0,1,0,0,0,1991,0.0000000000000944964995142072,1,1,0,"Moderate resistance"
"177",1991,"Moderate resistance",4753,7894,0,1,0,0,0,1991,0.000000000000141856126845141,1,1,0,"Moderate resistance"
"178",1992,"High resistance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High resistance"
"179",1992,"Low resistance",918,1505,0,0,1,0,0,1992,0.371023722274929,1,0,1,"Low resistance"
"180",1992,"Low resistance",1393,2251,0,0,1,0,0,1992,0.503631443906461,1,0,1,"Low resistance"
"181",1992,"Low resistance",1813,2975,0,0,2,0,0,5,0.000000000000000181898940354586,2,0,2,"Low resistance"
"182",1992,"Low resistance",1835,3014,0,0,1,0,0,1992,0.270113498384453,1,0,1,"Low resistance"
"183",1992,"Low resistance",2890,4757,0,0,2,0,0,1,0.121709698161244,2,0,2,"Low resistance"
"184",1992,"Low resistance",2891,4758,0,0,1,0,0,1992,0.5165273720867,1,0,1,"Low resistance"
"185",1992,"Moderate resistance",594,888,0,1,0,0,0,1992,0.00000000000000432009983342141,1,1,0,"Moderate resistance"
"186",1992,"Moderate resistance",1370,2214,0,0,3,0,0,23,0.864115297134037,3,0,3,"Moderate resistance"
"187",1992,"Moderate resistance",1378,2227,0,0,2,0,0,23,0.763265719533918,2,0,2,"Moderate resistance"
"188",1992,"Moderate resistance",1794,2945,0,0,2,0,0,39,2.75322707840633,2,0,2,"Moderate resistance"
"189",1992,"Moderate resistance",1799,2954,0,0,2,0,0,40,0.00000000000000145519152283669,2,0,2,"Moderate resistance"
"190",1992,"Moderate resistance",1801,2957,0,0,3,0,0,30,0.0786942439636672,3,0,3,"Moderate resistance"
"191",1992,"Moderate resistance",1811,2972,0,0,4,0,0,30,0,4,0,4,"Moderate resistance"
"192",1992,"Moderate resistance",3578,6378,0,1,0,0,0,1992,0.000000000000155228008225095,1,1,0,"Moderate resistance"
"193",1993,"High resistance",3624,6437,0,4,0,0,0,3,0.00000000000000291038304567337,4,4,0,"High resistance"
"194",1993,"Low resistance",1350,2187,0,0,1,0,0,1993,0.0000000000000255568011198193,1,0,1,"Low resistance"
"195",1993,"Low resistance",1379,2228,0,0,2,0,0,1,0.00000000000000627551344223321,2,0,2,"Low resistance"
"196",1993,"Low resistance",1729,2799,0,0,2,0,0,6,0.0000000000000472937244921923,2,0,2,"Low resistance"
"197",1993,"Low resistance",1735,2806,0,0,2,0,0,10,0.0000000000000101863406598568,2,0,2,"Low resistance"
"198",1993,"Low resistance",1749,2821,0,0,1,0,0,1993,1.40273340871843,1,0,1,"Low resistance"
