,resist_id,last_trt,area_ha,recent_dist_yr,recent_dist_type,unit_name,grove_name,prior1_dist_yr,prior1_dist_type,prior2_dist_yr,prior2_dist_type,keep,prior1_dist_yr_0,diff.1.to.2,resst_d
141,189,2018,0.247031996,2018,mech_under,Giant Sequoia National Monument,Alder Creek,NA,NA,NA,NA,T,0,2018,189
142,190,1983,2.442552554,1983,mech_under,Giant Sequoia National Monument,Bearskin,NA,NA,NA,NA,T,0,1983,190
143,191,2018,2.151368843,2018,rx_pile,Giant Sequoia National Monument,Bearskin,2017,mech_under,NA,NA,T,2017,1,191
144,192,2018,2.078169952,2018,rx_pile,Giant Sequoia National Monument,Bearskin,2017,mech_under,1983,mech_under,T,2017,1,192
145,193,2020,0.058892843,2020,rx_pile,Giant Sequoia National Monument,Bearskin,2019,rx_pile,2017,mech_under,T,2019,1,193
146,194,2022,4.521403658,2022,mech_under,Giant Sequoia National Monument,Bearskin,2018,rx_pile,2017,mech_under,T,2018,4,194
147,195,2022,0.549906358,2022,mech_under,Giant Sequoia National Monument,Bearskin,2018,rx_pile,2017,mech_under,T,2018,4,195
148,196,2022,6.54836E-14,2022,mech_under,Giant Sequoia National Monument,Bearskin,1983,mech_under,NA,NA,T,1983,39,196
149,197,2022,2.23198E-10,2022,mech_under,Giant Sequoia National Monument,Bearskin,NA,NA,NA,NA,T,0,2022,197
150,198,2023,6.141891015,2023,rx_pile,Giant Sequoia National Monument,Bearskin,2022,mech_under,1983,mech_under,T,2022,1,198
151,199,2023,3.68263E-10,2023,rx_pile,Giant Sequoia National Monument,Bearskin,2022,mech_under,NA,NA,T,2022,1,199
152,200,2023,1.203E-08,2023,rx_pile,Giant Sequoia National Monument,Bearskin,2022,mech_under,2018,rx_pile,T,2022,1,200
153,201,2023,0.900535556,2023,rx_pile,Giant Sequoia National Monument,Bearskin,2022,mech_under,2018,rx_pile,T,2022,1,201
154,202,2023,3.21819E-11,2023,rx_pile,Giant Sequoia National Monument,Bearskin,NA,NA,NA,NA,T,0,2023,202
155,203,2020,4.052487643,2020,lowsev_fire,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2020,203
156,204,2020,2.08457E-07,2020,lowsev_fire,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2020,204
157,204,2020,2.08457E-07,2020,modsev_fire,Giant Sequoia National Monument,Belknap Camp,2020,lowsev_fire,NA,NA,T,2020,0,204
158,205,2020,1.968792273,2020,modsev_fire,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2020,205
159,206,2020,3.47677E-07,2020,lowsev_fire,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2020,206
160,206,2020,3.47677E-07,2020,highsev_fire,Giant Sequoia National Monument,Belknap Camp,2020,lowsev_fire,NA,NA,T,2020,0,206
161,208,2020,3.29236E-07,2020,modsev_fire,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2020,208
162,208,2020,3.29236E-07,2020,highsev_fire,Giant Sequoia National Monument,Belknap Camp,2020,modsev_fire,NA,NA,T,2020,0,208
163,209,2020,3.896325052,2020,highsev_fire,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2020,209
164,210,2006,2.91038E-15,2006,mech_under,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2006,210
165,212,2020,0,2020,highsev_fire,Giant Sequoia National Monument,Belknap Camp,2011,mech_under,2009,rx_pile,T,2011,9,212
166,213,2011,3.63798E-16,2011,mech_under,Giant Sequoia National Monument,Belknap Camp,2009,rx_pile,2006,mech_under,T,2009,2,213
167,214,2020,0.002939216,2020,lowsev_fire,Giant Sequoia National Monument,Belknap Camp,2007,mech_under,NA,NA,T,2007,13,214
168,215,2020,0.061227428,2020,highsev_fire,Giant Sequoia National Monument,Belknap Camp,2007,mech_under,NA,NA,T,2007,13,215
169,219,2020,0.003460007,2020,highsev_fire,Giant Sequoia National Monument,Belknap Camp,2011,mech_under,2009,rx_pile,T,2011,9,219
170,222,2020,0.275925134,2020,modsev_fire,Giant Sequoia National Monument,Belknap Camp,2007,mech_under,NA,NA,T,2007,13,222
171,223,2020,4.52697E-09,2020,modsev_fire,Giant Sequoia National Monument,Belknap Camp,2007,mech_under,NA,NA,T,2007,13,223
172,223,2020,4.52697E-09,2020,highsev_fire,Giant Sequoia National Monument,Belknap Camp,2020,modsev_fire,2007,mech_under,T,2020,0,223
173,224,2007,2.76941E-14,2007,mech_under,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2007,224
174,225,2003,0.049763261,2003,rx_pile,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2003,225
175,226,2023,0.449034188,2023,rx_pile,Giant Sequoia National Monument,Belknap Camp,2020,lowsev_fire,2003,rx_pile,T,2020,3,226
176,227,2023,0.290414899,2023,rx_pile,Giant Sequoia National Monument,Belknap Camp,2003,rx_pile,NA,NA,T,2003,20,227
177,228,2023,6.105909482,2023,rx_pile,Giant Sequoia National Monument,Belknap Camp,2020,lowsev_fire,NA,NA,T,2020,3,228
178,232,2023,7.257833581,2023,rx_pile,Giant Sequoia National Monument,Belknap Camp,2020,highsev_fire,NA,NA,T,2020,3,232
179,234,2023,5.070158852,2023,rx_pile,Giant Sequoia National Monument,Belknap Camp,2020,modsev_fire,NA,NA,T,2020,3,234
180,235,2023,6.163463639,2023,rx_pile,Giant Sequoia National Monument,Belknap Camp,NA,NA,NA,NA,T,0,2023,235
181,236,2024,2.620590908,2024,rx_pile,Giant Sequoia National Monument,Big Stump,NA,NA,NA,NA,T,0,2024,236
182,237,2017,1.41254E-06,2017,rx_pile,Giant Sequoia National Monument,Big Stump,NA,NA,NA,NA,T,0,2017,237
183,238,2021,0.231998255,2021,mech_under,Giant Sequoia National Monument,Big Stump,NA,NA,NA,NA,T,0,2021,238
184,239,2024,2.01995E-11,2024,rx_pile,Giant Sequoia National Monument,Big Stump,2016,mech_under,NA,NA,T,2016,8,239
185,241,2017,0.162271875,2017,rx_pile,Giant Sequoia National Monument,Big Stump,2016,mech_under,NA,NA,T,2016,1,241
186,242,2016,1.01537E-10,2016,mech_under,Giant Sequoia National Monument,Big Stump,NA,NA,NA,NA,T,0,2016,242
187,243,2017,0.077793839,2017,rx_pile,Giant Sequoia National Monument,Big Stump,2016,mech_under,2002,rx_pile,T,2016,1,243
188,244,2024,0.145897986,2024,rx_pile,Giant Sequoia National Monument,Big Stump,2019,mech_under,2016,mech_under,T,2019,5,244
189,246,2019,1.485050713,2019,mech_under,Giant Sequoia National Monument,Big Stump,2016,mech_under,NA,NA,T,2016,3,246
190,247,2019,4.27696E-15,2019,mech_under,Giant Sequoia National Monument,Big Stump,NA,NA,NA,NA,T,0,2019,247
191,249,2023,0.142864999,2023,mech_under,Giant Sequoia National Monument,Big Stump,2021,rx_pile,2019,mech_under,T,2021,2,249
192,249,2023,0.142864999,2023,rx_pile,Giant Sequoia National Monument,Big Stump,2023,mech_under,2021,rx_pile,T,2023,0,249
