resist_id,lowsev_fire,rx_pile,mech_under,modsev_fire,highsev_fire,last_trt,diff.1.to.2,area_ha,resist_class,,resst_d
516,0,0,1,1,0,2022,5,0.91653557,High resistance,,516
518,0,1,5,0,0,2022,4,0.070994148,High resistance,,518
520,1,1,5,0,0,2022,4,0.000156922,High resistance,,520
521,1,1,4,0,0,2022,4,0.262288549,High resistance,,521
523,0,1,4,0,0,2022,4,0.246225005,High resistance,,523
525,0,0,2,0,0,2022,15,0.009613787,Low resistance,,525
526,0,1,3,0,0,2022,4,0.011553366,High resistance,,526
527,0,3,5,0,0,2022,4,7.16902E-06,High resistance,,527
528,1,1,3,0,0,2022,4,0.017082017,High resistance,,528
529,0,0,2,0,0,2022,4,0,Low resistance,,529
530,1,0,1,0,0,2022,5,12.34574977,High resistance,,530
531,0,0,1,0,0,2022,2022,4.132848325,Low resistance,,531
532,1,0,0,0,0,2015,2015,7.755219406,Moderate resistance,,532
534,0,0,0,1,0,2015,2015,1.812450354,Moderate resistance,,534
535,1,0,1,0,0,2015,30,0.172643102,Moderate resistance,,535
536,0,0,1,0,0,1985,1985,0.14072347,Faded resistance,,536
537,1,1,0,0,0,2015,6,0.372072383,High resistance,,537
538,1,0,0,0,0,2018,2018,9.842655181,Moderate resistance,,538
539,1,0,0,1,0,2018,2018,5.96194E-08,Moderate resistance,,539
539,1,0,0,1,0,2018,0,5.96194E-08,High resistance,,539
540,0,0,0,1,0,2018,2018,0.868356444,Moderate resistance,,540
544,0,0,0,0,1,2018,2018,0.028312029,Loss of mature forest,,544
545,1,0,0,0,0,2020,2020,0.223318829,Moderate resistance,,545
546,1,0,0,0,0,2015,2015,30.94702848,Moderate resistance,,546
548,0,0,0,1,0,2015,2015,22.32173005,Moderate resistance,,548
552,0,0,0,0,1,2015,2015,4.301155332,Loss of mature forest,,552
553,0,0,1,1,0,2018,3,1.066857473,High resistance,,553
555,1,0,1,0,0,2018,3,1.28090709,High resistance,,555
556,0,0,1,0,0,2018,2018,1.80989E-14,Low resistance,,556
557,1,0,0,0,0,2020,2020,2.91038E-15,Moderate resistance,,557
558,0,0,0,1,0,2020,2020,0.03643077,Moderate resistance,,558
559,0,0,0,1,1,2020,2020,2.32831E-14,Loss of mature forest,,559
559,0,0,0,1,1,2020,0,2.32831E-14,Loss of mature forest,,559
562,0,0,0,0,1,2020,2020,0.864459946,Loss of mature forest,,562
563,0,1,0,0,1,2023,3,1.058827267,Loss of mature forest,,563
564,0,1,0,1,0,2023,3,0.848972451,High resistance,,564
566,1,1,0,0,0,2023,3,2.381232649,High resistance,,566
568,0,1,0,0,0,2023,2023,0.174956721,Moderate resistance,,568
569,1,0,0,0,0,2015,2015,3.600778575,Moderate resistance,,569
571,0,0,0,1,0,2015,2015,10.10364521,Moderate resistance,,571
573,0,0,0,0,1,2015,2015,0.236587148,Loss of mature forest,,573
574,0,0,1,0,1,2024,9,0.322663811,Loss of mature forest,,574
576,0,0,1,1,0,2024,9,1.609256089,High resistance,,576
577,0,0,1,0,0,2024,2024,2.11003E-14,Low resistance,,577
579,1,0,1,0,0,2018,3,3.826999892,High resistance,,579
580,0,0,2,1,0,2024,6,0.089910967,High resistance,,580
581,0,0,1,1,0,2018,3,4.598720912,High resistance,,581
582,0,0,1,0,0,2018,2018,6.51198E-14,Low resistance,,582
583,1,0,0,0,0,2015,2015,168.1512795,Moderate resistance,,583
585,0,0,0,1,0,2015,2015,94.50072184,Moderate resistance,,585
589,0,0,0,0,1,2015,2015,19.37137484,Loss of mature forest,,589
590,1,0,1,0,0,2024,9,4.277852585,High resistance,,590
592,0,0,1,1,0,2024,9,21.04683962,High resistance,,592
594,0,0,1,0,1,2024,9,3.194824094,Loss of mature forest,,594
595,0,0,1,0,0,2024,2024,0.199991065,Low resistance,,595
596,0,0,2,1,0,2024,1,0.390607113,High resistance,,596
598,1,0,2,0,0,2024,1,0.021146908,High resistance,,598
599,1,0,1,0,0,2023,8,13.61396131,High resistance,,599
601,0,0,1,1,0,2023,8,14.65522955,High resistance,,601
602,0,0,1,0,0,2023,2023,4.73786036,Low resistance,,602
603,0,0,3,0,0,2024,1,2.52943E-09,Low resistance,,603
604,1,0,3,0,0,2024,1,1.41481E-07,High resistance,,604
606,0,0,3,1,0,2024,1,3.18579E-07,High resistance,,606
