"","dist_year","dist_type","grove_name","unit_name","landowner","hectares","dist_group"
"82",2010,"lowsev_fire","Monarch","Giant Sequoia National Monument","US Forest Service",3,"Wildfire"
"83",2010,"modsev_fire","Monarch","Giant Sequoia National Monument","US Forest Service",0.1,"Wildfire"
"84",2011,"lowsev_fire","Long Meadow","Giant Sequoia National Monument","US Forest Service",3.6,"Wildfire"
"85",2011,"modsev_fire","Long Meadow","Giant Sequoia National Monument","US Forest Service",0,"Wildfire"
"86",2011,"undetected_change","Long Meadow","Giant Sequoia National Monument","US Forest Service",3.6,"Wildfire"
"87",2012,"lowsev_fire","Freeman Creek","Giant Sequoia National Monument","US Forest Service",0,"Wildfire"
"88",2013,"lowsev_fire","Tuolumne","Yosemite National Park","National Park Service",0.3,"Wildfire"
"89",2013,"undetected_change","Tuolumne","Yosemite National Park","National Park Service",9.9,"Wildfire"
"90",2015,"highsev_fire","General Grant","Sequoia and Kings Canyon National Parks","National Park Service",1.9,"Wildfire"
"91",2015,"highsev_fire","Abbott","Giant Sequoia National Monument","US Forest Service",0.1,"Wildfire"
"92",2015,"highsev_fire","Agnew","Giant Sequoia National Monument","US Forest Service",0.3,"Wildfire"
"93",2015,"highsev_fire","Cabin Creek","Giant Sequoia National Monument","US Forest Service",4.3,"Wildfire"
"94",2015,"highsev_fire","Cherry Gap","Giant Sequoia National Monument","US Forest Service",0.6,"Wildfire"
"95",2015,"highsev_fire","Converse Basin","Giant Sequoia National Monument","US Forest Service",31.7,"Wildfire"
"96",2015,"highsev_fire","Converse Mountain","Giant Sequoia National Monument","US Forest Service",12.8,"Wildfire"
"97",2015,"highsev_fire","Converse Saddle","Giant Sequoia National Monument","US Forest Service",0.4,"Wildfire"
"98",2015,"highsev_fire","Deer Meadow","Giant Sequoia National Monument","US Forest Service",0.4,"Wildfire"
"99",2015,"highsev_fire","Evans","Giant Sequoia National Monument","US Forest Service",48.4,"Wildfire"
"100",2015,"highsev_fire","General Grant","Giant Sequoia National Monument","US Forest Service",5.5,"Wildfire"
"101",2015,"highsev_fire","Hoist Ridge","Giant Sequoia National Monument","US Forest Service",4.2,"Wildfire"
"102",2015,"highsev_fire","Kennedy","Giant Sequoia National Monument","US Forest Service",6.2,"Wildfire"
"103",2015,"highsev_fire","Lockwood","Giant Sequoia National Monument","US Forest Service",10.5,"Wildfire"
"104",2015,"highsev_fire","Verplank","Giant Sequoia National Monument","US Forest Service",4.4,"Wildfire"
"105",2015,"lowsev_fire","General Grant","Sequoia and Kings Canyon National Parks","National Park Service",10.5,"Wildfire"
"106",2015,"lowsev_fire","Agnew","Giant Sequoia National Monument","US Forest Service",0.4,"Wildfire"
"107",2015,"lowsev_fire","Boulder Creek","Giant Sequoia National Monument","US Forest Service",8.3,"Wildfire"
"108",2015,"lowsev_fire","Cabin Creek","Giant Sequoia National Monument","US Forest Service",32.2,"Wildfire"
"109",2015,"lowsev_fire","Cherry Gap","Giant Sequoia National Monument","US Forest Service",7.4,"Wildfire"
"110",2015,"lowsev_fire","Converse Basin","Giant Sequoia National Monument","US Forest Service",247.1,"Wildfire"
"111",2015,"lowsev_fire","Converse Saddle","Giant Sequoia National Monument","US Forest Service",4.7,"Wildfire"
"112",2015,"lowsev_fire","Deer Meadow","Giant Sequoia National Monument","US Forest Service",12.5,"Wildfire"
"113",2015,"lowsev_fire","Evans","Giant Sequoia National Monument","US Forest Service",155.7,"Wildfire"
"114",2015,"lowsev_fire","General Grant","Giant Sequoia National Monument","US Forest Service",6.5,"Wildfire"
"115",2015,"lowsev_fire","Hoist Ridge","Giant Sequoia National Monument","US Forest Service",6.5,"Wildfire"
"116",2015,"lowsev_fire","Indian Basin","Giant Sequoia National Monument","US Forest Service",0.4,"Wildfire"
"117",2015,"lowsev_fire","Kennedy","Giant Sequoia National Monument","US Forest Service",39.8,"Wildfire"
"118",2015,"lowsev_fire","Little Boulder","Giant Sequoia National Monument","US Forest Service",22.7,"Wildfire"
"119",2015,"lowsev_fire","Lockwood","Giant Sequoia National Monument","US Forest Service",8,"Wildfire"
"120",2015,"lowsev_fire","Verplank","Giant Sequoia National Monument","US Forest Service",2.8,"Wildfire"
"121",2015,"modsev_fire","General Grant","Sequoia and Kings Canyon National Parks","National Park Service",9.4,"Wildfire"
"122",2015,"modsev_fire","Abbott","Giant Sequoia National Monument","US Forest Service",3.2,"Wildfire"
"123",2015,"modsev_fire","Agnew","Giant Sequoia National Monument","US Forest Service",3.3,"Wildfire"
