id,grove,survey_year,postfire_status,prefire_status,source,survey_fire,gps_offset_m,dbh_cm,gps_offset_deg,total_offset_m,gps_reset_radians,geometry
HONO380_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114157.521949348, -181874.271229246)"
HONO345_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,243.84,NA,NA,NA,"c(114207.055037141, -181897.281069592)"
HONO347_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,274.32,NA,NA,NA,"c(114178.088640198, -181929.89308081)"
HONO348_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,243.84,NA,NA,NA,"c(114184.027930882, -181938.48286565)"
HONO353_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,243.84,NA,NA,NA,"c(114302.980473959, -181971.934123669)"
HONO354_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,365.76,NA,NA,NA,"c(114233.381973352, -181967.014704494)"
HONO513_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114222.031647023, -181993.579786269)"
HONO409_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114217.664545056, -181987.909804446)"
HONO512_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(114190.189390129, -181983.963751854)"
HONO412_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,121.92,NA,NA,NA,"c(114245.350587484, -182015.490984511)"
HONO511_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,304.8,NA,NA,NA,"c(114311.311990715, -182001.415102927)"
HONO418_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,152.4,NA,NA,NA,"c(114275.238336794, -182077.597425777)"
HONO357_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,335.28,NA,NA,NA,"c(114231.910676231, -182119.915980433)"
HONO445_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,365.76,NA,NA,NA,"c(114228.504433975, -182151.292284216)"
HONO514_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114370.827947371, -182158.784502319)"
HONO449_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114368.964264884, -182174.635523399)"
HONO448_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(114365.876835154, -182169.204974566)"
HONO446_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,7.62,NA,NA,NA,"c(114354.983047584, -182159.208378816)"
HONO359_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,243.84,NA,NA,NA,"c(114331.082579108, -182154.419676365)"
HONO361_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,304.8,NA,NA,NA,"c(114285.494875118, -182163.635731411)"
HONO362_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,335.28,NA,NA,NA,"c(114277.444499791, -182164.213927921)"
HONO363_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,304.8,NA,NA,NA,"c(114245.669015419, -182171.508645942)"
HONO355_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,365.76,NA,NA,NA,"c(114120.043830867, -182002.183140099)"
HONO515_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113845.973870818, -182052.429029367)"
HONO516_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113844.336403241, -182056.113878319)"
HONO413_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,27.94,NA,NA,NA,"c(113874.988350105, -182060.402209273)"
HONO517_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,17.78,NA,NA,NA,"c(113880.681940086, -182050.705003527)"
HONO410_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113904.379669872, -182025.22969955)"
HONO411_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,15.24,NA,NA,NA,"c(113906.333001728, -182025.493096354)"
HONO415_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,152.4,NA,NA,NA,"c(113901.318746755, -182075.686472341)"
HONO414_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,27.94,NA,NA,NA,"c(113877.595513813, -182074.801260916)"
HONO518_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113872.412717193, -182104.141942588)"
HONO416_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,91.44,NA,NA,NA,"c(113861.976871809, -182090.454419635)"
HONO417_T,Homers Nose,2023,Dead,Alive,"USGS, mortality",post_castle,NA,121.92,NA,NA,NA,"c(113858.217494747, -182094.635713122)"
HONO420_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,121.92,NA,NA,NA,"c(113787.564962876, -182137.947556098)"
HONO419_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,91.44,NA,NA,NA,"c(113801.165349313, -182136.48681771)"
HONO427_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113812.493517097, -182148.078088851)"
HONO430_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,121.92,NA,NA,NA,"c(113811.436165023, -182150.549276716)"
HONO532_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,152.4,NA,NA,NA,"c(113822.833867517, -182146.023174717)"
HONO422_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,30.48,NA,NA,NA,"c(113835.482694954, -182148.893142537)"
HONO423_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,91.44,NA,NA,NA,"c(113838.736522645, -182149.279083583)"
HONO426_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,91.44,NA,NA,NA,"c(113835.963912759, -182153.918429944)"
HONO431_T,Homers Nose,2023,Dead,unknown,"USGS, mortality",post_castle,NA,25.4,NA,NA,NA,"c(113828.986258783, -182158.851009555)"
HONO433_T,Homers Nose,2023,Alive,Alive,"USGS, mortality",post_castle,NA,60.96,NA,NA,NA,"c(113827.448209897, -182161.500612086)"
HONO436_T,Homers Nose,2023,Tree Not Found,unknown,"USGS, mortality",post_castle,NA,20.32,NA,NA,NA,"c(113838.660474063, -182165.258377484)"
