id,grove,survey_year,postfire_status,prefire_status,source,survey_fire,gps_offset_m,dbh_cm,gps_offset_deg,total_offset_m,gps_reset_radians,geometry,tree_number,death_by,pcvs,pcvc,x1999_dbh,x1999_height,x1999_comments,area,perimeter,giant,giant_id,dbh,ht,crowncls,htcb,damdis,folqual,nests,wdpkr,comments,scardbh,scargrnd,scarht,htbranch,toplcrn,leanaz,disth2o,plot,az,dist,gps,distance,az_road,near_fid,near_dist,near_x,near_y,status
Middle Tule54,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,391.2019353195824,0,16.956009676597912,-0,"c(120083.519145914, -194087.531405941)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule55,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,275.6557168321874,0,16.378278584160938,-0,"c(120044.198490671, -194044.249982158)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule56,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,145.14896867838044,0,15.725744843391903,-0,"c(120035.793156567, -193999.072791611)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule57,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,181.43621084797556,0,15.907181054239878,-0,"c(120036.879488976, -194001.863103258)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule58,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,249.23605805958746,0,16.246180290297936,-0,"c(120062.011534613, -194006.748258437)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule181,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,447.22434428316785,0,17.236121721415838,-0,"c(119642.709558443, -192834.467357041)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule182,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,276.6106442577031,0,16.383053221288517,-0,"c(119711.0328708, -193838.240972319)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule183,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,288.06977336389104,0,16.440348866819456,-0,"c(119677.767628902, -192869.238081206)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule184,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,338.0443086325439,0,16.69022154316272,-0,"c(119641.045428541, -192877.152832203)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule185,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,408.39062897886424,0,17.041953144894322,-0,"c(119628.243018993, -192851.148137615)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule186,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,305.57677616501144,0,16.52788388082506,-0,"c(119590.014911511, -192842.840658398)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule61,Middle Tule,2022,Dead,Dead,"USFS, Meyer",post_castle,15,133.6898395721925,0,15.668449197860962,-0,"c(119845.939667615, -193870.803865418)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule62,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,283.2951362363127,0,16.416475681181563,-0,"c(119835.308914912, -193850.346349111)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule71,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,222.81639928698752,0,16.114081996434937,-0,"c(120043.850892107, -193873.17454756)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule72,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,277.8838808250573,0,16.389419404125288,-0,"c(120031.863869865, -193873.274242098)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Middle Tule73,Middle Tule,2022,Live,Live,"USFS, Meyer",post_castle,15,275.33740769034887,0,16.376687038451745,-0,"c(120062.806106353, -193840.251757775)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
